frame.number,frame.time_relative,eth.src,eth.dst,eth.type,ip.src,ip.dst,arp.src.hw_mac,arp.dst.hw_mac,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len,icmp.type,icmp.code,data,Label
"1987","324.997809911",,,,"10.0.3.15","13.224.81.71",,,"36460","443",,,"76",,,,0
"1988","325.011810756",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"245",,,,0
"1989","325.012121003",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"7356",,,,0
"1990","325.016122596",,,,"13.224.81.71","10.0.3.15",,,"443","36460",,,"62",,,,0
"1991","325.016176039",,,,"10.0.3.15","13.224.81.71",,,"36460","443",,,"56",,,,0
"1992","325.018607613",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"267",,,,0
"1993","325.018829819",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1994","325.019119467",,,,"10.0.3.15","104.18.131.236",,,"36590","443",,,"56",,,,0
"1995","325.019290993",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"10276",,,,0
"1996","325.019633675",,,,"10.0.3.15","104.18.131.236",,,"36590","443",,,"56",,,,0
"1997","325.019804950",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"10276",,,,0
"1998","325.019822224",,,,"10.0.3.15","104.18.131.236",,,"36590","443",,,"56",,,,0
"1999","325.019857492",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"1516",,,,0
"2000","325.020012786",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"7356",,,,0
"2001","325.020021348",,,,"10.0.3.15","104.18.131.236",,,"36590","443",,,"56",,,,0
"2002","325.020067271",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"4436",,,,0
"2003","325.020174789",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"10276",,,,0
"2004","325.022224037",,,,"10.0.3.15","13.224.81.71",,,"36460","443",,,"573",,,,0
"2005","325.022513255",,,,"13.224.81.71","10.0.3.15",,,"443","36460",,,"62",,,,0
"2006","325.022583311",,,,"10.0.3.15","104.18.131.236",,,"36590","443",,,"56",,,,0
"2007","325.022704878",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"14656",,,,0
"2008","325.022725016",,,,"10.0.3.15","104.18.131.236",,,"36590","443",,,"56",,,,0
"2009","325.022763989",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"1516",,,,0
"2010","325.022809833",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"13196",,,,0
"2011","325.022832303",,,,"10.0.3.15","104.18.131.236",,,"36590","443",,,"56",,,,0
